"alg" "AUC" "TSS" "Kappa" "Sens" "Spec" "PCC" "D2" "thresh"
"bc" 0.794806985294118 0.610294117647059 0.431729518855657 0.75 0.860294117647059 0.848684210526316 -0.458322831749128 0.26
"dom" 0.782169117647059 0.544117647058823 0.327433628318584 0.75 0.794117647058823 0.789473684210526 -1.08568371209391 0.68
"glm" 0.933363970588235 0.735294117647059 0.500625782227785 0.875 0.860294117647059 0.861842105263158 0.460712515281027 0.12
"gamS" 0.9375 0.775735294117647 0.491268917345751 0.9375 0.838235294117647 0.848684210526316 0.45860947178078 0.1
"cart" 0.824448529411765 0.632352941176471 0.475138121546962 0.75 0.882352941176471 0.868421052631579 0.254605649257165 0.32
"rf" 0.905101102941177 0.713235294117647 0.459715639810426 0.875 0.838235294117647 0.842105263157895 0.231186049446145 0.12
"brt" 0.939338235294118 0.742647058823529 0.51530612244898 0.875 0.867647058823529 0.868421052631579 0.398775570187708 0.13
"maxent" 0.940257352941177 0.768382352941177 0.478260869565217 0.9375 0.830882352941177 0.842105263157895 0.274208730602974 0.29
