"EASTING" "NORTHING" "Emberiza_citrinella" "bio1" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19"
105000 755000 0 88.191291809082 51 36.1912956237793 3242.94848632812 161.808700561523 23.3825912475586 138.426116943359 75.191291809082 96.808708190918 130 50.1912956237793 1303.15686035156 150.234817504883 63.6174087524414 28 435.130554199219 204.852233886719 277.712554931641 332.895751953125
105000 875000 0 79 53 35 3550 157 8 149 61 92 126 37 1204 138 65 26 400 203 249 334
105000 905000 0 71.2573699951172 52.7540397644043 35.4896469116211 3511.61962890625 149.257369995117 1.99297654628754 147.264389038086 54.0114097595215 83.5217666625977 118.257369995117 30.2573699951172 1267.81298828125 142.252990722656 68.6057815551758 25.2459621429443 418.765991210938 215.640533447266 256.855682373047 359.952087402344
115000 665000 0 87.8372497558594 57 36.9593124389648 3630.91235351562 169.91862487793 15.8372488021851 154.08137512207 69.8779373168945 100.877937316895 134.91862487793 43.8372497558594 1272.56335449219 141.284820556641 64.0813751220703 26 414.895141601562 208.366195678711 268.447570800781 365.895141601562
115000 945000 0 78.8992080688477 53 36.1007881164551 3348.77465820312 154.899215698242 11 143.899215698242 63 89.8992080688477 122.899208068848 40 1164.30236816406 132 62 26 386.201568603516 196 231.899215698242 333.302368164062
125000 645000 0 87.6766662597656 59 36.9353332519531 3728.55200195312 172.805999755859 13.6766672134399 159.129333496094 68.7413330078125 101.676666259766 136.741333007812 42.6766662597656 1272.43200683594 140.711334228516 63.2586669921875 26 414.875335693359 207.905334472656 268.905334472656 365.810668945312
125000 725000 0 88.5009384155273 55 36 3548.3037109375 167.585006713867 17.546911239624 150.0380859375 71.5009384155273 100.584999084473 134.585006713867 45.5469131469727 1516.01306152344 172.33625793457 72.0840606689453 28.0840625762939 506.924682617188 238.37434387207 301.374328613281 448.255645751953
135000 685000 0 87.4796295166016 57.3409423828125 36 3704.42529296875 171.502456665039 13.982084274292 157.520370483398 62.8451309204102 101.479629516602 136.318115234375 42.9820823669434 1504.79260253906 169.805847167969 72.4975433349609 28 499.422424316406 239.487731933594 302.800933837891 442.763366699219
135000 775000 0 85.7949981689453 56.4146041870117 35.4102783203125 3731.84057617188 168.485260009766 11.6125888824463 156.872665405273 62.6816711425781 100.495872497559 134.920944213867 40.6561889648438 1721.14135742188 204.388854980469 81.3521575927734 29.4818134307861 586.643798828125 271.520538330078 331.150238037109 517.456604003906
135000 815000 0 77.4171829223633 55 35 3653.48559570312 158.514312744141 5.41718244552612 153.097137451172 59.5143203735352 91.3200454711914 126.417182922363 34.4171829223633 1611.1083984375 195.291412353516 79.1942749023438 28.9028644561768 555.582824707031 261.679962158203 314.679962158203 479.068511962891
135000 855000 0 79.1775207519531 55.2281379699707 35.840648651123 3581.50146484375 158.97624206543 7.79003429412842 151.186218261719 61.7900352478027 91.9493865966797 126.588760375977 36.7900352478027 1329.97900390625 153.249618530273 69.557991027832 26.7718620300293 449.963226318359 224.963348388672 276.963348388672 367.530700683594
135000 885000 0 82.7435913085938 55.1252136230469 36.092414855957 3523.51049804688 162.776397705078 11.7435922622681 151.032791137695 88.5259628295898 95.6511764526367 129.683975219727 40.7435913085938 1101.96374511719 128.202774047852 57.2892074584961 26 372.760345458984 194.366760253906 245.274337768555 280.273162841797
135000 925000 0 78.6578903198242 55 37.0602874755859 3327.33813476562 155.657897949219 10.7181787490845 144.939712524414 62.6578941345215 88.6578903198242 122.607414245605 39.7181777954102 1160.44885253906 130.342102050781 62.1710548400879 25.4557456970215 384.459594726562 196.684219360352 231.601669311523 332.408874511719
145000 25000 1 98.7436828613281 55.7523765563965 33.7523765563965 3911.16235351562 187.807846069336 25.6476097106934 162.160247802734 60.7436866760254 133.807846069336 150.56022644043 52.6476097106934 1103.44165039062 141.288223266602 56.4397735595703 31 393.681213378906 180.071685791016 188.071685791016 368.208374023438
145000 705000 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
145000 755000 1 83.2522430419922 56.6035194396973 35 3752.28515625 166.948822021484 9.04520606994629 157.903610229492 46.0452041625977 98.2153472900391 132.892654418945 38.0452041625977 1777.755859375 210.290115356445 84.2213287353516 29 604.761291503906 280.964080810547 341.66064453125 536.647338867188
145000 825000 0 70.9437866210938 56 35.242259979248 3735.08984375 154.561218261719 -2.48606443405151 157.047286987305 44.4487838745117 84.2716751098633 120.701522827148 26.1860427856445 1733.58837890625 213.304489135742 85.2319946289062 29 596.220642089844 283.313415527344 333.552795410156 524.882507324219
145000 915000 0 78.0491485595703 56 38 3353.01708984375 155.699432373047 9.39886379241943 146.300567626953 62.0491485595703 87.6994323730469 121.699432373047 38.3988647460938 1174.25708007812 131.300567626953 63.3005676269531 25.3497161865234 388.901702880859 199.901702880859 235.502838134766 335.650299072266
155000 675000 1 80.4071044921875 60 36 3892.85131835938 169.759399414062 4.59670925140381 165.162689208984 42.2444076538086 96.5698013305664 132.569793701172 34.2444076538086 1659.02893066406 189.441680908203 82.1424560546875 27.6476974487305 551.759094238281 268.773742675781 330.991973876953 492.744750976562
155000 795000 0 83.6259536743164 57.0935134887695 35 3823.86254882812 167.812973022461 7.62595081329346 160.187026977539 63.6259498596191 98.7194595336914 133.812973022461 37.6259498596191 1705.67565917969 207.654586791992 81.2805404663086 30 589.402709960938 271.935119628906 326.841613769531 514.589721679688
155000 865000 0 81.8931121826172 57.2613563537598 36.5901527404785 3628.345703125 164.302963256836 9.22191143035889 155.0810546875 64.6317596435547 95.3029556274414 130.302963256836 39.2219123840332 1338.11608886719 154.218948364258 70.5621490478516 27.2613544464111 455.292449951172 226.028854370117 273.619018554688 376.52197265625
155000 955000 0 77.4774856567383 56 38 3288.1171875 155.477478027344 10.477484703064 145 62.4774856567383 86.4774856567383 120.477485656738 39.4774856567383 1195.31518554688 134.045028686523 62.5225143432617 26 397.090057373047 200.56755065918 230.56755065918 355.612579345703
165000 615000 0 77.0280380249023 63.9750099182129 37 3892.18383789062 170.000396728516 0.999650061130524 169.000747680664 38.9989013671875 92.9996490478516 130.028793334961 31.9988994598389 1457.37622070312 160.775115966797 77.9447174072266 24 469.409027099609 249.778869628906 304.749725341797 422.438934326172
165000 655000 0 86 62 37 3872.45971679688 176 9 167 48 102 138 40 1512.36254882812 168.566345214844 77.5663452148438 26.4336528778076 495.265380859375 248.132690429688 306.699035644531 442.699035644531
165000 735000 0 75.2626876831055 59.7222557067871 35 4056.82421875 166.621307373047 -2.57849311828613 169.199798583984 35.4215087890625 93.2296524047852 129.866027832031 26.5073986053467 1911.59887695312 223.360717773438 93.9090957641602 28 645.067077636719 309.833251953125 373.560516357422 571.463745117188
165000 765000 0 80.5230026245117 59 35 4001.8681640625 169.745300292969 2.48026394844055 167.265029907227 49.4238395690918 97.9186248779297 134.39241027832 32.127384185791 1846.57531738281 219.127319335938 89.356086730957 29.0652942657471 628.878112792969 295.793548583984 357.146423339844 553.688903808594
165000 815000 0 80.7406921386719 58.838451385498 35.4072761535645 3878.32836914062 167.088790893555 3.81915974617004 163.269622802734 60.8191604614258 96.5791397094727 132.579147338867 34.309513092041 1695.14624023438 207.608734130859 82.209342956543 29.4903526306152 585.024108886719 272.465362548828 324.386901855469 513.01953125
165000 845000 0 80.015251159668 58.4962615966797 36 3779.212890625 165.007766723633 5.0227313041687 159.985046386719 61.015251159668 95.1581497192383 130.511505126953 35.0227317810059 1507.94860839844 179.601760864258 76.2029800415039 28.1428985595703 517.842651367188 248.391006469727 295.827178955078 445.744903564453
175000 15000 0 97.9231948852539 57 34 3998.2900390625 188.813323974609 23.1098728179932 165.70344543457 58.9231948852539 134 150.813323974609 49.9231948852539 1086.38598632812 139.48323059082 56.8133201599121 31.1866779327393 390.846405029297 177.439971923828 186.253280639648 366.396240234375
175000 205000 0 98.5882415771484 53 30.5882434844971 4311.587890625 192.411758422852 21.5882434844971 170.823516845703 78.5882415771484 113 157 47.5882453918457 869.176513671875 101 50 25.5882434844971 293 151 174 252.588241577148
175000 45000 0 98.0330581665039 56 32.6128540039062 4163.75439453125 191.206405639648 21.6459102630615 169.560485839844 56.7878837585449 136.677276611328 152.819259643555 48.1750297546387 1084.34387207031 134.219512939453 58.6710929870605 29.6128540039062 384.367218017578 180.496063232422 191.140289306641 360.439025878906
175000 685000 0 83.3745193481445 62 35.8255424499512 4079.82177734375 176.086822509766 3.64023661613464 172.446578979492 42.2000617980957 101.472183227539 137.912353515625 33.7379035949707 1754.26452636719 201.013626098633 88.3817443847656 27.5598239898682 584.408996582031 284.123260498047 346.068450927734 523.463806152344
175000 885000 0 77.0166702270508 59 36.0749816894531 3731.5126953125 162.05778503418 2.09165000915527 159.96614074707 58.9755439758301 90.0611267089844 127.013336181641 32.9755439758301 1348.10717773438 154.758987426758 70.9150161743164 27 454.272430419922 225.738388061523 267.547302246094 394.470764160156
185000 1035000 0 82 55 38 3213 160 16 144 67 90 124 45 1135 127 59 26 378 190 216 307
185000 825000 1 75.5226058959961 60.4721183776855 34.7770767211914 4087.76806640625 165.761306762695 -4.27024269104004 170.031539916992 37.9863204956055 92.7455291748047 129.761306762695 25.8275680541992 1680.38916015625 205.75407409668 83.2008972167969 29 576.199096679688 271.228393554688 319.549102783203 514.252685546875
185000 875000 0 75.9479370117188 60 36 3849.95581054688 164.066101074219 -0.209022775292397 164.275115966797 56.9479370117188 90.9479370117188 127.899436950684 30.0061359405518 1406.13818359375 164.851928710938 73.2478256225586 27 474.608673095703 233.421615600586 275.254943847656 417.736511230469
195000 195000 0 100 53 30 4342.60302734375 193.050094604492 22 171.050094604492 79 114 157.050094604492 48 891.298706054688 103.89981842041 50.9499092102051 25.9499092102051 301.699462890625 154.849731445312 179.849731445312 257.849731445312
195000 235000 1 94.0221099853516 53 30.2066383361816 4260.18994140625 188.011749267578 17.2287483215332 170.782989501953 74.2287521362305 107.884468078613 151.483291625977 43.8948364257812 898.705261230469 103.437339782715 52.8506164550781 25 303.506896972656 160.413848876953 183.482482910156 255.692810058594
